Date, scanner, mean_snr, mean_tsnr
2024-11-08, AWP79139, 396.56, 325.63
2024-11-09, AWP79139, 380.03, 324.67
2024-11-10, AWP79139, 354.13, 320.96
2024-11-12, AWP79139, 380.09, 325.57
2024-11-13, AWP79139, 416.5, 394.13
2024-11-14, AWP79139, 427.39, 373.48
2024-11-15, AWP79139, 348.77, 299.93
2024-11-16, AWP79139, 407.87, 373.69
2024-11-17, AWP79139, 393.33, 351.7
2024-11-18, AWP79139, 405.51, 348.04
2024-11-20, AWP79139, 397.64, 376.68
2024-11-22, AWP79139, 423.91, 379.11
2024-11-23, AWP79139, 413.5, 355.85
2024-11-25, fmrif7tb, 428.21, 369.22
2024-11-26, fmrif7tb, 437.95, 386.82
2024-11-27, fmrif7tb, 423.13, 368.74
2024-11-29, fmrif7tb, 392.18, 331.79
2024-12-02, fmrif7tb, 436.99, 377.61
2024-12-03, fmrif7tb, 440.73, 391.63
2024-12-04, fmrif7tb, 388.81, 327.87
2024-12-05, fmrif7tb, 416.42, 356.3
