Date, scanner, mean_snr, mean_tsnr
2024-11-05, fmrif3ta, 391.01, 190.09
2024-11-06, fmrif3ta, 400.63, 222.07
2024-11-07, fmrif3ta, 404.02, 205.13
2024-11-08, fmrif3ta, 398.45, 214.86
2024-11-09, fmrif3ta, 379.03, 182.03
2024-11-10, fmrif3ta, 435.96, 222.53
2024-11-12, fmrif3ta, 408.89, 212.33
2024-11-13, fmrif3ta, 375.01, 204.71
2024-11-14, fmrif3ta, 394.78, 224.74
2024-11-15, fmrif3ta, 364.91, 187.97
2024-11-16, fmrif3ta, 413.48, 209.04
2024-11-17, fmrif3ta, 419.78, 210.93
2024-11-18, fmrif3ta, 382.49, 187.61
2024-11-19, fmrif3ta, 417.62, 207.62
2024-11-20, fmrif3ta, 414.42, 212.55
2024-11-21, fmrif3ta, 372.52, 188.45
2024-11-22, fmrif3ta, 414.26, 226.13
2024-11-23, fmrif3ta, 385.21, 193.67
2024-11-24, fmrif3ta, 328.65, 188.69
2024-11-25, fmrif3ta, 398.01, 207.47
2024-11-26, fmrif3ta, 364.94, 164.85
2024-11-27, fmrif3ta, 402, 211.77
2024-11-29, fmrif3tb, 285.69, 138.07
2024-12-02, fmrif3ta, 400.14, 196.56
2024-12-03, fmrif3ta, 373.65, 163.84
2024-12-04, fmrif3ta, 366.02, 169.26
